ProductID,Title,Description,Reference,CostExGST,GST,DisbursementID,CostCenter,GLCode,TaxCode,Narrative,OnlineServiceCode,AllowChanges,BillingDetailsNameRequired,BillingDetailsPostRequired,BillingDetailsEmailRequired,BillingDetailsPhoneRequired,BillingDetailsFaxRequired,DeliveryPost,DeliveryEmail
a5f80c27-05e6-4ffa-862a-5a5b0d2b6579,Dentist Apprentices 1903-1925,Dentist Apprentices 1903-1925,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
02a66bcc-3de7-4b06-9d1c-456775490c37,Dentists 1903-1932,Dentists 1903-1932,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
888f73f7-7160-4714-a997-b77486a08aa5,Divorces 1861-1894,Divorces 1861-1894,,$16.86,$1.69,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
b81c8cc1-b57a-440f-af42-aa57b4787314,Equity files 1857-1899,Equity files 1857-1899,,$16.86,$1.69,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
11939bdc-c4e8-45b8-ae68-7a202305202a,"Female prisoners admitted, Toowoomba 1887 to 1891","Female prisoners admitted, Toowoomba 1887 to 1891",,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
96c6617f-e56c-44a8-b041-db99c73d0d9f,"Immigrants nominated for passage, Maryborough 1884 to 1896","Immigrants nominated for passage, Maryborough 1884 to 1896",,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ec9b9203-95e8-4e47-81b3-663c46f91a17,Immigration 1922-1940,Immigration 1922-1940,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
c5e3a434-ba1f-4a37-9532-98ae1f6725df,Imperial pensions 1872-1915,Imperial pensions 1872-1915,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
b0d26feb-b27f-4f84-95fd-1f32b6410e24,Imperial pensions 1898-1912,Imperial pensions 1898-1912,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
03048d5e-d47d-4c00-8656-9cf95f690ed0,Indigence cases 1899-1948,Indigence cases 1899-1948,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
e3746eaa-e749-4c02-8eb7-d204f60e4847,Inquests 1859-1902,Inquests 1859-1902,,$16.86,$1.69,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
